game_no,Home_team,Away_team,half_time_score,home_score,away_score,home_odds,draw_odds,away_odds,outcome,home_wins,draws_no,away_wins,game_count,game_id
2,CRY,BOU,1-2,2,3,1.74,3.9,4.65,2,0,0,1,1,58
3,BOU,LIV,1-1,2,1,4.05,4.15,1.8,1,1,0,1,2,46
4,BOU,TOT,0-0,0,1,3.9,3.8,1.89,2,0,0,2,2,59
5,BHA,NOT,0-1,2,2,1.48,4.7,6.25,x,1,1,1,3,4
6,BOU,LUT,0-0,2,0,2.17,3.5,3.35,1,3,0,0,3,33
7,BHA,NEW,1-1,1,1,2.15,3.75,3.2,x,0,1,2,3,60
8,BHA,BUR,1-0,2,0,1.48,4.5,6.5,1,2,0,0,2,3
9,BRE,MUN,0-2,2,2,2.95,3.7,2.3,x,2,2,1,5,61
10,AST,TOT,0-1,1,2,2.15,3.8,3.15,2,1,1,1,3,21
1,BHA,TOT,0-0,0,1,2.5,3.8,2.6,2,1,0,1,2,62
2,BOU,CHE,2-1,4,2,4.2,3.85,1.82,1,1,0,1,2,22
3,BOU,WOL,1-1,2,1,2.7,3.4,2.6,1,1,2,0,3,63
4,AST,BHA,0-0,1,1,3.9,3.8,1.89,x,0,3,0,3,64
5,BHA,WHU,0-1,0,2,1.94,3.8,3.75,2,2,0,1,3,36
6,BOU,TOT,0-0,0,2,3.9,3.8,1.89,2,0,0,2,2,59
7,BRE,WHU,0-2,2,2,2.6,3.45,2.7,x,0,1,2,3,65
8,BRE,SHU,0-0,0,0,1.83,3.65,4.45,x,1,2,1,4,52
9,BUR,BOU,0-0,0,0,2.3,3.75,2.95,x,0,1,1,2,66
10,BRE,ARS,1-3,1,3,3.15,3.6,2.21,2,0,0,1,1,67
1,AST,BHA,0-0,0,0,2.85,3.55,2.45,x,0,3,0,3,64
2,BRE,MUN,2-1,2,3,2.95,3.7,2.3,2,2,2,1,5,61
3,BHA,WOL,1-1,4,4,1.65,4.05,5.0,x,0,3,0,3,10
4,BRE,MUN,3-0,4,2,2.95,3.7,2.3,1,2,2,1,5,61
5,BRE,MUN,3-0,4,2,2.9,3.35,2.5,1,2,2,1,5,61
6,BOU,BHA,0-0,0,3,4.05,3.75,1.88,2,0,0,1,1,68
7,BOU,BRE,1-0,2,1,1.78,3.8,4.45,1,2,0,1,3,69
8,CRY,BRE,2-0,3,0,2.19,3.5,3.3,1,3,0,1,4,70
9,BHA,SHU,1-0,1,0,1.47,4.55,6.75,1,2,0,0,2,37
10,AST,LIV,1-0,2,1,2.14,4.05,3.05,1,1,2,0,3,39
1,AST,SHU,2-1,5,1,1.49,4.5,6.5,1,1,1,0,2,47
2,BOU,BRE,1-0,3,0,2.9,3.35,2.5,1,2,0,1,3,69
3,BRE,BHA,1-0,3,0,2.95,3.45,2.4,1,1,0,0,1,71
4,BHA,LUT,2-0,2,0,1.43,4.75,7.25,1,2,1,0,3,23
5,AST,CRY,2-0,3,0,1.75,4.05,4.45,1,2,0,0,2,1
6,AST,LUT,1-0,2,0,1.45,4.65,7.0,1,1,1,1,3,38
7,BOU,WOL,0-0,1,1,2.7,3.4,2.6,x,1,2,0,3,63
8,BOU,SHU,1-0,1,0,2.25,3.45,3.2,1,1,1,0,2,72
9,BHA,TOT,2-1,3,1,2.09,3.8,3.3,1,1,0,1,2,62
10,CHE,SHU,0-0,3,3,1.43,4.75,7.25,x,1,1,0,2,73
1,BOU,BRE,0-2,1,2,2.9,3.35,2.5,2,2,0,1,3,69
2,AST,NOT,1-0,4,0,1.51,4.65,6.0,1,2,0,1,3,15
3,BRE,TOT,1-1,2,1,2.85,3.55,2.45,1,1,0,0,1,74
4,AST,TOT,4-1,4,1,2.15,3.8,3.15,1,1,1,1,3,21
5,BRE,FUL,0-1,1,1,1.96,3.65,3.85,x,1,1,0,2,75
6,BHA,NEW,0-1,1,3,2.15,3.75,3.2,2,0,1,2,3,60
7,BHA,NEW,0-1,1,3,3.0,3.55,2.3,2,0,1,2,3,60
8,BRE,CHE,0-1,0,1,3.0,3.55,2.3,2,1,0,1,2,54
9,BOU,ARS,0-1,0,2,4.45,4.0,1.75,2,0,0,2,2,50
10,BHA,BOU,1-0,2,0,1.45,4.6,7.0,1,2,0,0,2,76
1,BHA,FUL,1-1,2,2,1.55,4.4,5.75,x,0,1,1,2,43
2,AST,BRE,1-0,2,0,1.45,4.6,7.0,1,2,2,0,4,28
3,AST,BHA,0-1,1,1,2.22,3.7,3.1,x,0,3,0,3,64
4,CHE,BRE,2-0,3,1,1.69,4.0,4.9,1,1,0,1,2,77
5,BUR,SHU,0-1,1,1,2.17,3.5,3.35,x,0,1,0,1,78
6,AST,MUN,1-0,1,0,2.21,3.95,2.95,1,2,0,0,2,20
7,AST,LUT,0-1,1,2,1.45,4.65,7.0,2,1,1,1,3,38
8,BHA,CRY,0-0,3,0,1.71,4.05,4.65,1,2,0,0,2,45
9,BRE,BUR,2-0,3,0,1.85,3.65,4.35,1,4,0,0,4,79
10,BOU,FUL,0-0,0,1,2.5,3.5,2.8,2,1,0,2,3,80
1,BUR,ARS,1-1,1,4,4.2,3.95,1.8,2,2,0,1,3,81
2,BRE,BUR,1-1,4,2,1.85,3.65,4.35,1,4,0,0,4,79
3,BRE,LIV,1-1,5,2,2.85,3.8,2.3,1,1,0,0,1,82
4,BRE,FUL,2-2,4,2,1.96,3.65,3.85,1,1,1,0,2,75
5,CHE,NEW,0-1,0,1,2.07,3.85,3.3,2,1,0,1,2,83
6,CRY,BUR,1-1,1,1,1.79,3.85,4.35,x,0,3,0,3,84
7,CHE,AST,0-0,1,0,2.01,3.85,3.5,1,1,0,0,1,85
8,BRE,CRY,0-0,1,0,2.21,3.5,3.25,1,1,0,0,1,86
9,BRE,BOU,1-1,1,2,1.8,3.7,4.6,2,2,1,1,4,87
10,CHE,LIV,3-0,5,0,2.14,3.9,3.1,1,1,0,1,2,88
1,CHE,EVE,0-0,0,0,1.73,3.95,4.65,x,1,1,1,3,89
2,CRY,BRE,1-1,2,3,2.8,3.95,2.3,2,3,0,1,4,70
3,EVE,CHE,1-0,1,1,2.9,3.55,2.4,x,2,1,1,4,90
4,BHA,BOU,2-0,2,0,1.45,4.6,7.0,1,2,0,0,2,76
5,BRE,WOL,4-1,4,2,2.12,3.45,3.5,1,1,0,0,1,91
6,BOU,CRY,1-0,2,0,2.9,3.5,2.4,1,2,0,2,4,92
7,LIV,BUR,0-1,2,2,1.41,5.25,7.0,x,1,2,0,3,93
8,BUR,LUT,0-1,0,2,2.08,3.55,3.55,2,1,1,3,5,94
9,BRE,BOU,2-0,2,0,2.01,3.9,3.4,1,2,1,1,4,87
10,CRY,BUR,1-1,1,1,2.0,4.15,3.3,x,0,3,0,3,84
1,BOU,AST,0-1,2,2,3.85,3.75,1.93,x,0,2,0,2,48
2,CRY,AST,0-0,1,0,2.75,3.65,2.45,1,4,0,0,4,95
3,EVE,ARS,2-1,3,1,3.0,3.6,2.3,1,1,0,1,2,96
4,CHE,BOU,2-1,3,1,1.41,4.85,7.5,1,1,1,0,2,97
5,BUR,EVE,1-0,2,0,2.9,3.4,2.5,1,1,1,1,3,98
6,BOU,LUT,2-0,4,0,2.17,3.5,3.35,1,3,0,0,3,33
7,BHA,WHU,1-0,3,0,1.94,3.8,3.75,1,2,0,1,3,36
8,CHE,ARS,0-0,0,1,2.95,3.45,2.4,2,1,0,3,4,57
9,FUL,BHA,0-0,0,0,3.4,3.7,2.08,x,0,3,0,3,99
10,LIV,BHA,0-1,1,2,2.07,4.0,3.15,2,0,0,2,2,100
1,CRY,LIV,0-0,2,2,2.8,3.95,2.3,x,1,2,0,3,101
2,EVE,FUL,2-0,2,1,1.9,3.7,4.0,1,2,0,1,3,102
3,BRE,BOU,0-0,0,0,1.8,3.7,4.6,x,2,1,1,4,87
4,BRE,SHU,0-0,0,2,1.83,3.65,4.45,2,1,2,1,4,52
5,CRY,MUN,0-0,0,3,2.9,3.9,2.25,2,0,1,1,2,103
6,CHE,EVE,0-0,0,1,1.73,3.95,4.65,2,1,1,1,3,89
7,BUR,WHU,0-0,0,1,3.3,3.6,2.16,2,0,1,2,3,104
8,BHA,MUN,0-2,0,2,1.44,4.75,7.0,2,0,0,1,1,105
9,BUR,NEW,1-1,2,1,2.01,3.85,3.5,1,1,0,1,2,106
10,BUR,TOT,0-0,1,1,3.7,3.8,1.95,x,0,2,0,2,107
1,CHE,BUR,0-0,1,0,1.44,4.75,7.0,1,3,0,1,4,108
2,EVE,MCI,0-1,0,3,3.25,3.7,2.14,2,1,0,1,2,109
3,CHE,ARS,1-1,1,4,2.19,3.85,3.05,2,1,0,3,4,57
4,CRY,BHA,0-0,0,2,2.85,3.65,2.4,2,2,0,1,3,110
5,BRE,BUR,0-0,3,2,1.85,3.65,4.35,1,4,0,0,4,79
6,BOU,MCI,0-1,1,3,4.85,4.2,1.66,2,1,1,2,4,18
7,BOU,SHU,0-0,0,0,2.25,3.45,3.2,x,1,1,0,2,72
8,BRE,NOT,0-0,1,1,1.86,3.8,4.05,x,1,1,0,2,111
9,BUR,WHU,0-0,0,0,3.3,3.6,2.16,x,0,1,2,3,104
10,EVE,SHU,2-2,2,2,1.77,3.75,4.7,x,0,2,0,2,112
1,BOU,CRY,0-1,1,2,2.9,3.5,2.4,2,2,0,2,4,92
2,BRE,NEW,1-0,1,2,2.95,3.5,2.4,2,1,0,1,2,113
3,BUR,BHA,0-1,1,2,3.8,3.7,1.94,2,0,0,1,1,114
4,BOU,CRY,0-1,1,2,3.8,3.7,1.94,2,2,0,2,4,92
5,CRY,LIV,0-1,1,1,2.8,3.95,2.3,x,1,2,0,3,101
6,BOU,MCI,1-0,1,0,4.85,4.2,1.66,1,1,1,2,4,18
7,BOU,FUL,3-2,3,2,2.14,3.9,3.1,1,1,0,2,3,80
8,BOU,EVE,0-1,2,1,3.0,3.4,2.4,1,1,0,0,1,115
9,BUR,AST,0-1,1,2,3.65,3.7,1.99,2,1,0,1,2,116
10,CRY,WHU,1-0,2,0,2.5,3.6,2.7,1,2,0,1,3,117
1,BOU,FUL,0-1,1,2,2.5,3.5,2.8,2,1,0,2,3,80
2,BRE,NOT,0-0,2,0,1.86,3.8,4.05,1,1,1,0,2,111
3,BUR,WHU,0-2,1,4,3.3,3.6,2.16,2,0,1,2,3,104
4,CRY,NEW,0-1,0,2,2.85,3.7,2.35,2,1,1,1,3,118
5,BUR,MUN,2-1,3,2,3.95,4.05,1.84,1,1,0,0,1,119
6,BRE,NEW,0-1,3,2,2.95,3.5,2.4,1,1,0,1,2,113
7,BOU,MCI,0-0,0,0,4.85,4.2,1.66,x,1,1,2,4,18
8,CHE,BUR,0-1,0,1,1.44,4.75,7.0,2,3,0,1,4,108
9,BOU,NOT,1-0,1,1,2.35,3.65,2.9,x,0,1,1,2,120
10,CHE,LUT,1-1,2,2,1.39,5.0,7.75,x,1,1,0,2,121
1,BRE,BOU,2-0,2,0,1.8,3.7,4.6,1,2,1,1,4,87
2,BUR,TOT,0-0,0,0,3.7,3.8,1.95,x,0,2,0,2,107
3,EVE,MUN,3-1,4,1,2.85,3.75,2.35,1,1,1,1,3,122
4,CHE,BUR,3-1,3,1,1.44,4.75,7.0,1,3,0,1,4,108
5,CRY,SHU,0-0,2,2,1.77,3.85,4.5,x,0,1,1,2,123
6,CRY,TOT,1-0,1,1,2.8,3.7,2.4,x,2,1,0,3,124
7,CRY,WOL,0-1,0,2,2.05,3.65,3.5,2,1,0,1,2,125
8,BUR,BRE,1-1,1,1,2.8,3.35,2.6,x,1,1,0,2,126
9,CHE,BUR,3-1,3,1,2.7,3.5,2.55,1,3,0,1,4,108
10,BRE,MUN,1-0,1,1,2.95,3.7,2.3,x,2,2,1,5,61
1,BUR,LUT,0-1,0,3,2.08,3.55,3.55,2,1,1,3,5,94
2,BRE,SHU,1-0,2,1,1.83,3.65,4.45,1,1,2,1,4,52
