game_no,Home_team,Away_team,half_time_score,home_score,away_score,home_odds,draw_odds,away_odds,outcome,home_wins,draws_no,away_wins,game_count,game_id
3,CRY,BHA,2-0,2,0,2.85,3.65,2.4,1,2,0,1,3,110
4,EVE,MUN,1-0,1,1,2.85,3.75,2.35,x,1,1,1,3,122
5,FUL,BUR,0-1,0,2,2.85,3.75,2.35,2,1,0,1,2,127
6,EVE,WOL,0-1,0,2,2.04,3.5,3.65,2,0,0,1,1,128
7,BRE,WHU,0-1,0,4,2.6,3.45,2.7,2,0,1,2,3,65
8,CHE,BHA,0-0,2,0,2.08,3.75,3.35,1,2,0,0,2,129
9,EVE,LIV,1-0,2,3,2.75,3.8,2.4,2,0,2,1,3,130
10,BUR,LUT,0-1,1,1,2.08,3.55,3.55,x,1,1,3,5,94
1,BUR,EVE,1-0,1,1,2.9,3.4,2.5,x,1,1,1,3,98
2,CHE,MCI,0-0,3,0,2.3,3.85,2.8,1,1,1,0,2,131
3,CRY,BUR,0-0,2,2,1.79,3.85,4.35,x,0,3,0,3,84
4,BUR,BOU,1-1,1,3,2.13,3.5,3.45,2,0,1,1,2,66
5,CHE,EVE,0-0,4,0,1.79,3.85,4.35,1,1,1,1,3,89
6,BUR,CRY,0-3,1,3,2.75,3.55,2.5,2,1,0,1,2,132
7,EVE,CRY,0-0,0,0,2.14,3.55,3.35,x,1,2,0,3,133
8,EVE,BOU,0-0,1,1,1.77,3.85,4.5,x,1,2,0,3,134
9,FUL,BOU,0-0,1,0,1.94,3.7,3.85,1,2,0,0,2,135
10,EVE,BOU,0-0,1,1,1.74,3.8,4.8,x,1,2,0,3,134
1,EVE,MCI,2-0,2,1,3.25,3.7,2.14,1,1,0,1,2,109
2,CRY,SHU,0-1,1,2,2.6,3.45,2.7,2,0,1,1,2,123
3,CRY,AST,0-0,3,0,2.75,3.65,2.45,1,4,0,0,4,95
4,LIV,BOU,0-1,3,2,1.38,5.25,7.5,1,2,0,2,4,136
5,BUR,WOL,1-0,2,2,2.14,3.55,3.35,x,0,1,0,1,137
6,BUR,AST,2-0,2,0,3.65,3.7,1.99,1,1,0,1,2,116
7,BRE,LUT,0-1,0,2,1.76,3.75,4.75,2,1,0,1,2,49
8,EVE,LUT,1-0,4,0,1.71,3.85,4.95,1,2,1,1,4,138
9,BUR,LIV,0-0,0,0,3.8,4.1,1.86,x,0,1,0,1,139
10,LIV,BUR,4-1,6,1,1.41,5.25,7.0,1,1,2,0,3,93
1,CHE,LUT,1-0,1,0,1.39,5.0,7.75,1,1,1,0,2,121
2,LIV,CHE,2-1,2,2,2.12,4.05,3.05,x,0,2,0,2,140
3,CHE,WOL,2-1,2,1,1.6,4.25,5.5,1,1,0,0,1,141
4,CRY,TOT,0-0,4,0,2.8,3.7,2.4,1,2,1,0,3,124
5,CRY,NEW,0-0,2,2,2.85,3.7,2.35,x,1,1,1,3,118
6,FUL,BRE,0-1,1,1,2.5,3.45,2.8,x,1,2,0,3,142
7,CRY,TOT,1-1,3,2,2.8,3.7,2.4,1,2,1,0,3,124
8,CRY,EVE,2-0,2,1,2.25,3.55,3.15,1,1,0,0,1,143
9,CRY,NEW,0-0,1,0,2.85,3.7,2.35,1,1,1,1,3,118
10,EVE,FUL,0-1,3,1,1.9,3.7,4.0,1,2,0,1,3,102
1,CHE,CRY,0-0,2,1,1.65,4.2,4.9,1,1,1,0,2,144
2,LUT,BOU,0-2,0,2,2.25,3.45,3.2,2,0,0,1,1,145
3,BUR,EVE,0-3,1,4,2.9,3.4,2.5,2,1,1,1,3,98
4,BRE,EVE,0-1,2,1,2.9,3.35,2.5,1,1,0,0,1,146
5,EVE,AST,0-1,1,3,2.7,3.5,2.55,2,1,0,1,2,147
6,LIV,WOL,0-0,2,0,1.58,4.55,5.25,1,2,1,0,3,148
7,CHE,FUL,1-0,2,2,1.5,4.6,6.0,x,0,1,2,3,53
8,LIV,BOU,1-2,1,2,1.38,5.25,7.5,2,2,0,2,4,136
