game_no,Home_team,Away_team,half_time_score,home_score,away_score,home_odds,draw_odds,away_odds,game_id,outcome,home_wins,draws_no,away_wins,game_count,1/2
7,LIV,SHU,1-0,1,0,1.4,5.25,7.0,261,1,6,3,0,9,1
8,NEW,MCI,0-1,0,1,2.4,3.85,2.75,263,2,3,1,1,5,1
9,NOT,MUN,0-1,0,3,3.7,4.2,1.86,343,2,3,1,3,7,1
10,WHU,TOT,0-0,1,1,2.35,3.7,2.85,292,x,1,4,2,7,0
1,BHA,BOU,1-2,2,2,1.45,4.6,7.0,99,x,2,2,0,4,0
2,BRE,FUL,1-2,3,3,1.96,3.65,3.85,187,x,1,3,0,4,0
3,CHE,EVE,2-1,2,1,1.73,3.95,4.65,136,1,5,0,2,7,1
4,CRY,BUR,1-0,1,1,1.79,3.85,4.35,13,x,4,3,2,9,0
5,LUT,AST,0-0,0,0,4.0,3.75,1.89,84,x,1,4,1,6,0
6,MUN,ARS,1-1,2,3,2.16,4.05,3.0,262,2,4,2,1,7,1
7,NEW,LIV,2-0,2,1,2.05,4.1,3.2,330,1,3,0,2,5,1
8,NOT,MCI,1-0,2,0,4.3,4.3,1.72,275,1,2,0,5,7,1
9,TOT,SHU,0-0,3,0,1.47,4.65,6.5,86,1,4,1,1,6,1
10,WOL,WHU,0-1,0,1,2.7,3.55,2.55,133,2,0,1,5,6,1
1,ARS,MCI,0-3,2,6,2.2,3.95,2.95,60,2,1,3,7,11,1
2,BHA,CHE,0-0,0,0,2.21,3.7,3.1,367,x,0,2,1,3,0
3,BOU,LUT,2-0,4,1,2.17,3.5,3.35,135,1,2,1,5,8,1
4,BRE,AST,0-2,4,4,2.8,3.5,2.5,144,x,2,2,2,6,0
5,BUR,MUN,0-2,0,3,3.95,4.05,1.84,273,2,1,2,3,6,1
6,EVE,CRY,0-0,2,0,2.14,3.55,3.35,231,1,5,3,1,9,1
7,FUL,WHU,0-0,0,0,2.9,3.65,2.35,147,x,1,4,2,7,0
8,NOT,LIV,0-0,0,0,3.55,4.25,1.88,78,x,1,4,2,7,0
9,SHU,NEW,1-0,1,2,3.95,3.8,1.89,131,2,1,0,5,6,1
10,WOL,TOT,0-3,0,3,3.0,3.65,2.3,216,2,2,1,4,7,1
1,BHA,CRY,1-0,1,0,1.71,4.05,4.65,356,1,4,2,1,7,1
2,BOU,BRE,0-1,0,1,2.9,3.35,2.5,63,2,1,2,5,8,1
3,BUR,MCI,1-3,2,4,4.55,4.15,1.71,271,2,0,0,4,4,1
4,CHE,LUT,0-0,2,1,1.39,5.0,7.75,100,1,5,1,1,7,1
5,LIV,ARS,1-0,1,1,2.2,4.1,2.9,121,x,1,4,0,5,0
6,MUN,EVE,1-0,2,1,1.69,4.2,4.65,130,1,4,1,1,6,1
7,NEW,TOT,0-0,0,0,2.06,3.85,3.3,310,x,2,2,0,4,0
8,SHU,NOT,1-1,1,1,2.3,3.65,3.0,141,x,1,2,2,5,0
9,WHU,AST,0-0,1,1,2.35,3.65,2.9,79,x,4,4,0,8,0
10,WOL,FUL,0-3,0,4,2.04,3.65,3.55,203,2,2,1,1,4,1
1,BHA,AST,1-1,3,2,2.08,3.75,3.35,193,1,6,1,3,10,1
2,BOU,TOT,1-2,2,2,3.9,3.8,1.89,32,x,3,1,3,7,0
3,BRE,MUN,0-0,0,0,2.95,3.7,2.3,351,x,1,1,3,5,0
4,CHE,MCI,1-1,4,3,2.3,3.85,2.8,211,1,1,2,2,5,1
5,CRY,SHU,0-0,1,1,1.77,3.85,4.5,207,x,3,3,0,6,0
6,EVE,BUR,3-0,4,1,1.79,3.75,4.55,368,1,4,0,0,4,1
7,LUT,WHU,0-0,0,0,3.55,3.65,2.04,5,x,1,1,5,7,0
8,NEW,FUL,1-0,1,2,1.53,4.5,5.75,27,2,5,1,2,8,1
9,NOT,ARS,1-0,2,1,3.95,4.1,1.82,357,1,3,0,1,4,1
10,WOL,LIV,0-0,2,0,3.05,3.9,2.17,345,1,2,0,2,4,1
1,AST,TOT,1-0,1,0,2.15,3.8,3.15,270,1,3,2,3,8,1
2,BHA,CRY,0-0,0,0,1.71,4.05,4.65,356,x,4,2,1,7,0
3,BRE,MCI,0-0,1,3,3.4,3.7,2.08,369,2,0,0,1,1,1
4,CHE,SHU,0-0,2,0,1.43,4.75,7.25,350,1,4,0,1,5,1
5,EVE,ARS,0-0,0,0,3.0,3.6,2.3,212,x,1,2,1,4,0
6,FUL,BUR,1-0,1,0,2.0,3.7,3.65,172,1,2,2,1,5,1
7,LIV,NOT,0-0,1,0,1.41,5.5,6.5,222,1,4,2,0,6,1
8,LUT,NEW,0-1,0,2,4.2,3.85,1.82,306,2,0,0,3,3,1
9,MUN,WOL,0-0,2,0,1.57,4.5,5.5,26,1,6,1,1,8,1
10,WHU,BOU,0-0,0,0,1.56,4.25,5.75,358,x,2,1,0,3,0
1,AST,WHU,0-1,1,1,1.99,3.8,3.6,115,x,2,2,0,4,0
2,CHE,BHA,0-0,0,1,2.08,3.75,3.35,81,2,0,1,5,6,1
3,FUL,ARS,2-0,6,1,3.7,3.95,1.92,235,1,2,0,3,5,1
4,LUT,BUR,1-1,3,3,2.35,3.45,3.05,223,x,2,1,0,3,0
5,MCI,WOL,0-0,0,0,1.48,4.7,6.25,76,x,4,4,1,9,0
6,MUN,LIV,0-2,1,5,1.97,4.35,3.25,179,2,3,1,2,6,1
7,NEW,BOU,0-0,3,0,1.43,4.75,7.25,247,1,4,0,1,5,1
