,homeTeam,awayTeam,homeOdds,drawOdds,awayOdds,homePastWins,homePastDraws,homePastLosses,awayPastWins,awayPastDraws,awayPastLosses,homeGoalDiff,awayGoalDiff,result,check
45,16,10,2.4,3.65,2.85,2,5,6,4,2,7,-9,-13,1,LUT - NOT
46,3,19,1.32,5.5,9.25,5,5,3,1,3,9,1,-14,0,MCI - BOU
47,9,11,1.47,4.9,6,8,4,1,2,6,5,14,-4,0,MUN - FUL
48,13,4,3.95,3.8,1.89,3,4,6,8,3,2,-8,13,0,SHU - NEW
49,15,5,2.45,3.4,2.95,7,1,5,6,2,5,3,0,1,WOL - EVE
50,14,17,1.48,4.5,6.5,3,3,8,3,4,7,-8,-3,0,BHA - BUR
51,19,15,2.7,3.4,2.6,1,3,10,7,2,5,-21,3,0,BOU - WOL
52,18,1,2.8,3.5,2.5,1,6,7,2,4,8,-10,-12,0,BRE - AST
53,7,16,1.39,5,7.75,8,4,2,2,6,6,16,-9,0,CHE - LUT
54,8,13,1.77,3.85,4.5,3,4,7,4,4,6,-11,-7,2,CRY - SHU
55,11,12,3.7,3.95,1.92,2,6,6,9,4,1,-5,17,2,FUL - ARS
56,9,0,1.97,4.35,3.25,9,4,1,10,1,3,15,10,0,MUN - LIV
57,4,2,2.06,3.85,3.3,8,3,3,8,2,4,12,10,0,NEW - TOT
58,10,5,2.7,3.6,2.55,4,3,7,6,3,5,-13,0,2,NOT - EVE
59,6,3,2.75,3.8,2.4,5,7,2,6,5,3,8,8,2,WHU - MCI
60,14,18,1.75,3.85,4.7,4,3,8,2,6,7,-7,-9,0,BHA - BRE
61,19,6,3.45,3.6,2.08,2,3,10,5,7,3,-20,7,0,BOU - WHU
62,5,7,2.9,3.55,2.4,7,3,5,9,4,2,1,17,0,EVE - CHE
63,0,12,2.2,4.1,2.9,10,1,4,10,4,1,9,18,2,LIV - ARS
64,3,11,1.39,5.25,7.25,7,5,3,2,6,7,9,-6,0,MCI - FUL
65,9,17,1.41,5,7,10,4,1,3,4,8,16,-4,0,MUN - BUR
66,4,16,1.41,4.9,7.5,9,3,3,2,6,7,14,-10,0,NEW - LUT
67,13,1,3.75,3.7,1.96,5,4,6,2,4,9,-6,-13,1,SHU - AST
68,2,8,1.71,4.15,4.5,8,2,5,3,4,8,8,-12,0,TOT - CRY
69,15,10,1.93,3.8,3.75,7,2,6,4,3,8,2,-14,0,WOL - NOT
70,18,9,2.95,3.7,2.3,2,6,8,11,4,1,-11,17,2,BRE - MUN
71,17,12,4.2,3.95,1.8,3,4,9,11,4,1,-5,19,2,BUR - ARS
72,7,10,1.44,4.95,6.75,9,4,3,4,3,9,16,-16,0,CHE - NOT
73,5,4,2.8,3.55,2.45,8,3,5,10,3,3,2,17,2,EVE - NEW
74,11,19,1.94,3.7,3.85,2,6,8,3,3,10,-7,-19,0,FUL - BOU
75,16,8,2.95,3.55,2.35,2,6,8,3,4,9,-13,-16,0,LUT - CRY
76,3,0,1.8,4.4,3.8,8,5,3,10,1,5,10,8,2,MCI - LIV
77,13,14,3.95,3.7,1.92,5,5,6,5,3,8,-6,-5,1,SHU - BHA
78,2,1,2.1,3.8,3.25,9,2,5,2,5,9,12,-13,0,TOT - AST
79,15,6,2.7,3.55,2.55,8,2,6,5,7,4,4,6,1,WOL - WHU
80,12,18,1.63,4.15,5.25,12,4,1,2,6,9,20,-12,1,ARS - BRE
